352,"unrest, conflicts and war",4
352,disaster and accident,3
354,"unrest, conflicts and war",13
354,"crime, law and justice",2
356,"unrest, conflicts and war",9
356,"crime, law and justice",7
356,disaster and accident,1
359,"crime, law and justice",1
374,"unrest, conflicts and war",12
374,"crime, law and justice",3
377,"crime, law and justice",7
377,"unrest, conflicts and war",4
378,"crime, law and justice",1
380,"crime, law and justice",39
380,disaster and accident,5
380,"unrest, conflicts and war",4
383,"unrest, conflicts and war",1
388,"crime, law and justice",6
388,religion and belief,1
390,"crime, law and justice",40
390,disaster and accident,6
390,"unrest, conflicts and war",4
390,religion and belief,2
397,"unrest, conflicts and war",5
397,"crime, law and justice",3
398,"crime, law and justice",5
400,"crime, law and justice",16
400,"unrest, conflicts and war",2
402,"crime, law and justice",79
402,"unrest, conflicts and war",61
402,disaster and accident,13
402,religion and belief,1
404,"unrest, conflicts and war",3
404,"crime, law and justice",2
404,disaster and accident,1
405,"crime, law and justice",12
405,"unrest, conflicts and war",5
405,disaster and accident,1
408,"crime, law and justice",10
408,disaster and accident,1
408,"unrest, conflicts and war",1
411,"crime, law and justice",1
411,"unrest, conflicts and war",1
414,"crime, law and justice",18
414,disaster and accident,2
414,"unrest, conflicts and war",1
416,"unrest, conflicts and war",2
417,"crime, law and justice",79
417,"unrest, conflicts and war",57
417,disaster and accident,10
417,religion and belief,3
419,"crime, law and justice",35
419,"unrest, conflicts and war",16
425,"crime, law and justice",26
425,"unrest, conflicts and war",8
425,disaster and accident,2
425,religion and belief,1
426,"crime, law and justice",5
426,"unrest, conflicts and war",2
428,"crime, law and justice",3
429,"unrest, conflicts and war",2
431,"crime, law and justice",16
431,"unrest, conflicts and war",11
433,"unrest, conflicts and war",5
433,"crime, law and justice",4
435,"crime, law and justice",24
435,"unrest, conflicts and war",17
435,disaster and accident,3
435,religion and belief,2
441,"crime, law and justice",1
442,"unrest, conflicts and war",18
442,"crime, law and justice",13
442,religion and belief,2
442,disaster and accident,1
443,"crime, law and justice",2
443,"unrest, conflicts and war",1
444,"crime, law and justice",4
445,"crime, law and justice",11
445,"unrest, conflicts and war",4
446,"unrest, conflicts and war",6
446,"crime, law and justice",3
448,religion and belief,1
450,"crime, law and justice",29
450,"unrest, conflicts and war",10
450,disaster and accident,3
450,religion and belief,1
451,"crime, law and justice",13
451,"unrest, conflicts and war",4
451,disaster and accident,1
453,"crime, law and justice",1
453,"unrest, conflicts and war",1
454,"unrest, conflicts and war",9
454,"crime, law and justice",6
454,religion and belief,5
455,"crime, law and justice",5
455,"unrest, conflicts and war",5
456,"crime, law and justice",38
456,disaster and accident,3
456,"unrest, conflicts and war",3
458,"crime, law and justice",3
458,disaster and accident,1
458,religion and belief,1
458,"unrest, conflicts and war",1
460,"crime, law and justice",4
460,"unrest, conflicts and war",4
461,"unrest, conflicts and war",6
461,"crime, law and justice",4
461,disaster and accident,1
464,"crime, law and justice",4
464,"unrest, conflicts and war",1
465,"crime, law and justice",25
465,disaster and accident,2
465,"unrest, conflicts and war",1
467,"crime, law and justice",1
471,"crime, law and justice",18
471,"unrest, conflicts and war",1
474,"crime, law and justice",1
475,"crime, law and justice",1
475,"unrest, conflicts and war",1
477,"unrest, conflicts and war",19
477,religion and belief,6
477,"crime, law and justice",4
477,disaster and accident,3
478,"crime, law and justice",26
478,"unrest, conflicts and war",18
478,disaster and accident,2
481,"unrest, conflicts and war",15
481,"crime, law and justice",12
483,"crime, law and justice",9
483,religion and belief,2
483,"unrest, conflicts and war",2
483,disaster and accident,1
484,"crime, law and justice",7
484,"unrest, conflicts and war",3
487,"crime, law and justice",2
487,"unrest, conflicts and war",2
487,disaster and accident,1
488,"crime, law and justice",8
488,"unrest, conflicts and war",7
488,disaster and accident,5
488,religion and belief,2
490,"crime, law and justice",10
490,"unrest, conflicts and war",1
491,"crime, law and justice",32
491,"unrest, conflicts and war",5
491,religion and belief,1
492,"crime, law and justice",34
492,disaster and accident,7
492,"unrest, conflicts and war",6
496,"unrest, conflicts and war",7
496,"crime, law and justice",6
498,"crime, law and justice",15
498,religion and belief,1
500,"crime, law and justice",5
504,"unrest, conflicts and war",8
507,"crime, law and justice",5
507,"unrest, conflicts and war",2
508,"crime, law and justice",10
510,"crime, law and justice",9
510,"unrest, conflicts and war",2
511,"crime, law and justice",18
511,religion and belief,2
511,"unrest, conflicts and war",1
512,"crime, law and justice",1
516,"unrest, conflicts and war",21
516,"crime, law and justice",20
516,religion and belief,4
516,disaster and accident,2
518,"crime, law and justice",1
518,religion and belief,1
518,"unrest, conflicts and war",1
521,"crime, law and justice",5
523,"crime, law and justice",5
523,disaster and accident,2
523,"unrest, conflicts and war",2
524,"crime, law and justice",6
524,"unrest, conflicts and war",1
527,"crime, law and justice",48
527,"unrest, conflicts and war",3
527,disaster and accident,2
527,religion and belief,1
533,"crime, law and justice",5
533,"unrest, conflicts and war",1
538,"crime, law and justice",8
539,"crime, law and justice",9
539,disaster and accident,1
539,"unrest, conflicts and war",1
542,"crime, law and justice",13
542,disaster and accident,2
544,"crime, law and justice",2
544,"unrest, conflicts and war",1
546,"crime, law and justice",4
546,disaster and accident,2
546,religion and belief,1
548,"crime, law and justice",10
549,"crime, law and justice",5
549,"unrest, conflicts and war",5
549,disaster and accident,1
549,religion and belief,1
550,"crime, law and justice",14
550,"unrest, conflicts and war",7
550,religion and belief,5
550,disaster and accident,1
551,"crime, law and justice",5
551,"unrest, conflicts and war",3
553,"crime, law and justice",8
553,disaster and accident,2
553,"unrest, conflicts and war",1
555,"crime, law and justice",8
555,"unrest, conflicts and war",3
556,"crime, law and justice",25
556,"unrest, conflicts and war",3
556,disaster and accident,1
556,religion and belief,1
557,"crime, law and justice",5
557,religion and belief,1
557,"unrest, conflicts and war",1
559,"crime, law and justice",13
560,"crime, law and justice",2
560,disaster and accident,1
560,"unrest, conflicts and war",1
561,"crime, law and justice",8
561,"unrest, conflicts and war",7
562,"unrest, conflicts and war",18
562,religion and belief,3
562,"crime, law and justice",2
565,"crime, law and justice",6
565,"unrest, conflicts and war",2
566,"unrest, conflicts and war",4
566,"crime, law and justice",2
568,"crime, law and justice",5
568,"unrest, conflicts and war",2
571,"crime, law and justice",21
571,disaster and accident,6
571,"unrest, conflicts and war",6
571,religion and belief,1
573,"unrest, conflicts and war",7
573,"crime, law and justice",3
574,"crime, law and justice",8
574,"unrest, conflicts and war",6
574,disaster and accident,4
575,"crime, law and justice",17
575,"unrest, conflicts and war",10
575,disaster and accident,3
577,"crime, law and justice",1
586,"crime, law and justice",4
586,"unrest, conflicts and war",1
590,"crime, law and justice",11
590,"unrest, conflicts and war",3
590,religion and belief,2
594,religion and belief,1
594,"unrest, conflicts and war",1
595,"crime, law and justice",19
595,disaster and accident,1
595,"unrest, conflicts and war",1
598,"crime, law and justice",1
598,"unrest, conflicts and war",1
601,"unrest, conflicts and war",5
605,"crime, law and justice",1
607,"crime, law and justice",2
